id_aluno,sexo,idade,tipo_de_cota,coeficiente,naturalidade_op,total_reprovacao_nota,total_reprovacao_falta,target_evasao
437,M,37,L6,0.7,0,0,0,1
438,M,26,L6,7.9,0,0,0,0
439,M,27,L1,4.4,0,0,0,0
440,M,23,AC,8.7,0,0,0,0
441,M,24,AC,8.7,0,0,0,0
442,M,25,AC,6.8,0,0,0,0
443,M,25,AC,5.0,0,0,0,1
444,F,24,AC,8.3,0,0,0,0
445,M,24,AC,3.2,0,0,0,0
446,M,26,AC,4.6,0,0,0,0
447,M,25,AC,1.0,0,0,0,1
448,M,25,AC,6.8,0,0,0,0
449,M,23,AC,5.8,0,0,0,0
450,M,26,AC,9.2,0,0,0,0
451,M,23,AC,3.0,0,0,0,1
452,M,23,AC,9.9,0,0,0,0
453,M,26,AC,9.3,0,0,0,0
454,M,24,L5,9.2,0,0,0,0
455,M,24,L5,8.9,0,0,0,0
456,M,24,L5,8.5,0,0,0,0
457,M,24,L5,8.5,0,0,0,0
458,M,25,L5,8.1,0,0,0,0
459,M,25,AC,7.7,1,0,0,0
460,F,24,AC,7.5,0,0,0,0
461,M,29,L6,5.2,0,0,0,0
462,M,33,AC,4.8,0,0,0,0
463,M,25,AC,8.7,0,0,0,0
464,M,25,L5,8.5,0,0,0,0
465,M,27,AC,5.4,0,0,0,1
466,F,44,AC,8.8,0,0,0,0
467,M,32,L2,5.8,0,0,0,1
468,F,27,L1,8.3,0,0,0,0
469,M,24,L1,8.0,0,0,0,0
470,M,25,L2,6.6,0,0,0,0
471,M,26,L1,3.0,0,0,0,1
472,M,29,L1,8.6,0,0,0,0
473,M,25,L1,0.0,0,0,0,1
474,M,38,L2,1.1,1,0,0,1
475,M,27,L1,7.7,0,0,0,0
476,M,27,L6,9.0,0,0,0,0
477,F,26,L6,5.1,0,0,0,1
478,M,24,AC,5.3,0,0,0,1
479,F,26,AC,8.8,0,0,0,1
480,M,35,AC,2.9,0,0,0,1
481,M,26,AC,3.4,0,0,0,1
482,M,25,L5,6.8,0,0,0,0
483,F,24,L5,9.1,0,0,0,0
484,F,24,L5,7.9,0,0,0,0
485,F,28,L6,7.2,0,0,0,0
486,M,25,L5,7.2,0,0,0,0
487,M,31,AC,2.7,0,0,0,1
488,M,25,AC,2.7,0,0,0,1
489,M,28,L5,1.9,0,0,0,0
